dataset,tolerance_actual_cycles,from_stage,to_stage,boundary_effective_cycle,boundary_actual_cycle,alarm_cycle,alarm_actual_cycle,detection_delay_cycles,match_status,model,setting
Exp2,250.0,1.0,2.0,3005.0,5500.0,3020.5,5525.833333333333,25.83333333333303,MATCHED,Persistence,within_Exp2
Exp2,250.0,2.0,3.0,6005.0,10500.0,,,,MISSED,Persistence,within_Exp2
Exp2,250.0,3.0,4.0,8705.0,15000.0,8730.5,15042.5,42.5,MATCHED,Persistence,within_Exp2
Exp2,250.0,4.0,5.0,11705.0,20000.0,11720.5,20025.887265135698,25.887265135697817,MATCHED,Persistence,within_Exp2
Exp2,250.0,,,,,350.5,1082.6080226364847,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,625.5,1540.2395139813582,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,945.5,2072.756158455393,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,1220.5,2530.3876498002664,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,1520.5,3029.622003994674,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,1820.5,3528.856358189081,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,2125.5,4036.4112849533954,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,2725.5,5034.879993342211,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,3630.5,6542.5,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,3920.5,7025.833333333333,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,5120.5,9025.833333333334,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,5720.5,10025.833333333332,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,6325.5,11034.166666666666,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,6915.5,12017.5,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,7820.5,13525.833333333334,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,8075.5,13950.833333333334,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,8420.5,14525.833333333334,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,9570.5,16442.5,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,11420.5,19525.833333333332,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,12620.5,21529.01878914405,,FALSE_ALARM,Persistence,within_Exp2
Exp2,250.0,,,,,13225.5,22539.45720250522,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,1.0,2.0,3005.0,5500.0,2725.5,5034.879993342211,-465.1200066577894,MATCHED,Persistence,within_Exp2
Exp2,500.0,1.0,2.0,3005.0,5500.0,3020.5,5525.833333333333,25.83333333333303,DUPLICATE,Persistence,within_Exp2
Exp2,500.0,2.0,3.0,6005.0,10500.0,5720.5,10025.833333333332,-474.1666666666679,MATCHED,Persistence,within_Exp2
Exp2,500.0,3.0,4.0,8705.0,15000.0,8420.5,14525.833333333334,-474.16666666666606,MATCHED,Persistence,within_Exp2
Exp2,500.0,3.0,4.0,8705.0,15000.0,8730.5,15042.5,42.5,DUPLICATE,Persistence,within_Exp2
Exp2,500.0,4.0,5.0,11705.0,20000.0,11420.5,19525.833333333332,-474.1666666666679,MATCHED,Persistence,within_Exp2
Exp2,500.0,4.0,5.0,11705.0,20000.0,11720.5,20025.887265135698,25.887265135697817,DUPLICATE,Persistence,within_Exp2
Exp2,500.0,,,,,350.5,1082.6080226364847,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,625.5,1540.2395139813582,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,945.5,2072.756158455393,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,1220.5,2530.3876498002664,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,1520.5,3029.622003994674,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,1820.5,3528.856358189081,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,2125.5,4036.4112849533954,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,3630.5,6542.5,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,3920.5,7025.833333333333,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,5120.5,9025.833333333334,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,6325.5,11034.166666666666,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,6915.5,12017.5,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,7820.5,13525.833333333334,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,8075.5,13950.833333333334,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,9570.5,16442.5,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,12620.5,21529.01878914405,,FALSE_ALARM,Persistence,within_Exp2
Exp2,500.0,,,,,13225.5,22539.45720250522,,FALSE_ALARM,Persistence,within_Exp2
Exp2,100.0,1.0,2.0,3005.0,5500.0,3020.5,5525.833333333333,25.83333333333303,MATCHED,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,2.0,3.0,6005.0,10500.0,,,,MISSED,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,3.0,4.0,8705.0,15000.0,8730.5,15042.5,42.5,MATCHED,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,4.0,5.0,11705.0,20000.0,11720.5,20025.887265135698,25.887265135697817,MATCHED,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,350.5,1082.6080226364847,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,625.5,1540.2395139813582,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,945.5,2072.756158455393,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,1220.5,2530.3876498002664,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,1520.5,3029.622003994674,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,1820.5,3528.856358189081,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,2125.5,4036.4112849533954,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,3630.5,6542.5,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,3920.5,7025.833333333333,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,5120.5,9025.833333333334,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,5720.5,10025.833333333332,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,6325.5,11034.166666666666,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,6930.5,12042.5,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,7820.5,13525.833333333334,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,8075.5,13950.833333333334,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,8420.5,14525.833333333334,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,9570.5,16442.5,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,12625.5,21537.369519832984,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,13225.5,22539.45720250522,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,1.0,2.0,3005.0,5500.0,3020.5,5525.833333333333,25.83333333333303,MATCHED,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,2.0,3.0,6005.0,10500.0,,,,MISSED,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,3.0,4.0,8705.0,15000.0,8730.5,15042.5,42.5,MATCHED,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,4.0,5.0,11705.0,20000.0,11720.5,20025.887265135698,25.887265135697817,MATCHED,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,350.5,1082.6080226364847,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,625.5,1540.2395139813582,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,945.5,2072.756158455393,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,1220.5,2530.3876498002664,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,1520.5,3029.622003994674,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,1820.5,3528.856358189081,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,2125.5,4036.4112849533954,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,3630.5,6542.5,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,3920.5,7025.833333333333,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,5120.5,9025.833333333334,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,5720.5,10025.833333333332,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,6325.5,11034.166666666666,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,6930.5,12042.5,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,7820.5,13525.833333333334,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,8075.5,13950.833333333334,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,8420.5,14525.833333333334,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,9570.5,16442.5,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,12625.5,21537.369519832984,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,250.0,,,,,13225.5,22539.45720250522,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,1.0,2.0,3005.0,5500.0,3020.5,5525.833333333333,25.83333333333303,MATCHED,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,2.0,3.0,6005.0,10500.0,5720.5,10025.833333333332,-474.1666666666679,MATCHED,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,3.0,4.0,8705.0,15000.0,8420.5,14525.833333333334,-474.16666666666606,MATCHED,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,3.0,4.0,8705.0,15000.0,8730.5,15042.5,42.5,DUPLICATE,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,4.0,5.0,11705.0,20000.0,11720.5,20025.887265135698,25.887265135697817,MATCHED,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,350.5,1082.6080226364847,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,625.5,1540.2395139813582,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,945.5,2072.756158455393,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,1220.5,2530.3876498002664,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,1520.5,3029.622003994674,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,1820.5,3528.856358189081,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,2125.5,4036.4112849533954,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,3630.5,6542.5,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,3920.5,7025.833333333333,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,5120.5,9025.833333333334,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,6325.5,11034.166666666666,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,6930.5,12042.5,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,7820.5,13525.833333333334,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,8075.5,13950.833333333334,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,9570.5,16442.5,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,12625.5,21537.369519832984,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp2,500.0,,,,,13225.5,22539.45720250522,,FALSE_ALARM,RBF_Ridge,Exp1_pretrain_to_Exp2
Exp1,100.0,1.0,2.0,7575.0,8000.0,7595.5,8024.2066420664205,24.2066420664205,MATCHED,RBF_Ridge,within_Exp1
Exp1,100.0,2.0,3.0,21125.0,24000.0,21145.5,24024.422933730453,24.422933730453224,MATCHED,RBF_Ridge,within_Exp1
Exp1,100.0,3.0,4.0,27840.0,32000.0,27850.5,32012.42603550296,12.426035502958257,MATCHED,RBF_Ridge,within_Exp1
Exp1,100.0,4.0,5.0,34600.0,40000.0,34615.5,40018.33484986351,18.33484986350959,MATCHED,RBF_Ridge,within_Exp1
Exp1,100.0,,,,,14370.5,16024.20664206642,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,100.0,,,,,19665.5,22276.60516605166,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,100.0,,,,,20825.5,23646.346863468636,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,100.0,,,,,27325.5,31387.04393149665,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,100.0,,,,,29110.5,33503.55029585799,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,100.0,,,,,32475.5,37485.79881656804,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,100.0,,,,,34040.5,39337.869822485205,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,100.0,,,,,39125.5,45353.1847133758,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,100.0,,,,,41385.5,48026.524112829844,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,250.0,1.0,2.0,7575.0,8000.0,7595.5,8024.2066420664205,24.2066420664205,MATCHED,RBF_Ridge,within_Exp1
Exp1,250.0,2.0,3.0,21125.0,24000.0,21145.5,24024.422933730453,24.422933730453224,MATCHED,RBF_Ridge,within_Exp1
Exp1,250.0,3.0,4.0,27840.0,32000.0,27850.5,32012.42603550296,12.426035502958257,MATCHED,RBF_Ridge,within_Exp1
Exp1,250.0,4.0,5.0,34600.0,40000.0,34615.5,40018.33484986351,18.33484986350959,MATCHED,RBF_Ridge,within_Exp1
Exp1,250.0,,,,,14370.5,16024.20664206642,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,250.0,,,,,19665.5,22276.60516605166,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,250.0,,,,,20825.5,23646.346863468636,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,250.0,,,,,27325.5,31387.04393149665,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,250.0,,,,,29110.5,33503.55029585799,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,250.0,,,,,32475.5,37485.79881656804,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,250.0,,,,,34040.5,39337.869822485205,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,250.0,,,,,39125.5,45353.1847133758,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,250.0,,,,,41385.5,48026.524112829844,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,500.0,1.0,2.0,7575.0,8000.0,7595.5,8024.2066420664205,24.2066420664205,MATCHED,RBF_Ridge,within_Exp1
Exp1,500.0,2.0,3.0,21125.0,24000.0,20825.5,23646.346863468636,-353.653136531364,MATCHED,RBF_Ridge,within_Exp1
Exp1,500.0,2.0,3.0,21125.0,24000.0,21145.5,24024.422933730453,24.422933730453224,DUPLICATE,RBF_Ridge,within_Exp1
Exp1,500.0,3.0,4.0,27840.0,32000.0,27850.5,32012.42603550296,12.426035502958257,MATCHED,RBF_Ridge,within_Exp1
Exp1,500.0,4.0,5.0,34600.0,40000.0,34615.5,40018.33484986351,18.33484986350959,MATCHED,RBF_Ridge,within_Exp1
Exp1,500.0,,,,,14370.5,16024.20664206642,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,500.0,,,,,19665.5,22276.60516605166,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,500.0,,,,,27325.5,31387.04393149665,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,500.0,,,,,29110.5,33503.55029585799,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,500.0,,,,,32475.5,37485.79881656804,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,500.0,,,,,34040.5,39337.869822485205,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,500.0,,,,,39125.5,45353.1847133758,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp1,500.0,,,,,41385.5,48026.524112829844,,FALSE_ALARM,RBF_Ridge,within_Exp1
Exp2,100.0,1.0,2.0,3005.0,5500.0,3020.5,5525.833333333333,25.83333333333303,MATCHED,RBF_Ridge,within_Exp2
Exp2,100.0,2.0,3.0,6005.0,10500.0,,,,MISSED,RBF_Ridge,within_Exp2
Exp2,100.0,3.0,4.0,8705.0,15000.0,8730.5,15042.5,42.5,MATCHED,RBF_Ridge,within_Exp2
Exp2,100.0,4.0,5.0,11705.0,20000.0,11720.5,20025.887265135698,25.887265135697817,MATCHED,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,350.5,1082.6080226364847,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,625.5,1540.2395139813582,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,945.5,2072.756158455393,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,1220.5,2530.3876498002664,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,1520.5,3029.622003994674,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,1820.5,3528.856358189081,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,2125.5,4036.4112849533954,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,2725.5,5034.879993342211,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,3630.5,6542.5,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,3920.5,7025.833333333333,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,5120.5,9025.833333333334,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,5720.5,10025.833333333332,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,6325.5,11034.166666666666,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,6915.5,12017.5,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,7820.5,13525.833333333334,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,8075.5,13950.833333333334,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,8420.5,14525.833333333334,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,9570.5,16442.5,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,11420.5,19525.833333333332,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,12625.5,21537.369519832984,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,,,,,13225.5,22539.45720250522,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,1.0,2.0,3005.0,5500.0,3020.5,5525.833333333333,25.83333333333303,MATCHED,RBF_Ridge,within_Exp2
Exp2,250.0,2.0,3.0,6005.0,10500.0,,,,MISSED,RBF_Ridge,within_Exp2
Exp2,250.0,3.0,4.0,8705.0,15000.0,8730.5,15042.5,42.5,MATCHED,RBF_Ridge,within_Exp2
Exp2,250.0,4.0,5.0,11705.0,20000.0,11720.5,20025.887265135698,25.887265135697817,MATCHED,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,350.5,1082.6080226364847,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,625.5,1540.2395139813582,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,945.5,2072.756158455393,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,1220.5,2530.3876498002664,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,1520.5,3029.622003994674,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,1820.5,3528.856358189081,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,2125.5,4036.4112849533954,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,2725.5,5034.879993342211,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,3630.5,6542.5,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,3920.5,7025.833333333333,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,5120.5,9025.833333333334,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,5720.5,10025.833333333332,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,6325.5,11034.166666666666,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,6915.5,12017.5,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,7820.5,13525.833333333334,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,8075.5,13950.833333333334,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,8420.5,14525.833333333334,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,9570.5,16442.5,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,11420.5,19525.833333333332,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,12625.5,21537.369519832984,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,250.0,,,,,13225.5,22539.45720250522,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,1.0,2.0,3005.0,5500.0,2725.5,5034.879993342211,-465.1200066577894,MATCHED,RBF_Ridge,within_Exp2
Exp2,500.0,1.0,2.0,3005.0,5500.0,3020.5,5525.833333333333,25.83333333333303,DUPLICATE,RBF_Ridge,within_Exp2
Exp2,500.0,2.0,3.0,6005.0,10500.0,5720.5,10025.833333333332,-474.1666666666679,MATCHED,RBF_Ridge,within_Exp2
Exp2,500.0,3.0,4.0,8705.0,15000.0,8420.5,14525.833333333334,-474.16666666666606,MATCHED,RBF_Ridge,within_Exp2
Exp2,500.0,3.0,4.0,8705.0,15000.0,8730.5,15042.5,42.5,DUPLICATE,RBF_Ridge,within_Exp2
Exp2,500.0,4.0,5.0,11705.0,20000.0,11420.5,19525.833333333332,-474.1666666666679,MATCHED,RBF_Ridge,within_Exp2
Exp2,500.0,4.0,5.0,11705.0,20000.0,11720.5,20025.887265135698,25.887265135697817,DUPLICATE,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,350.5,1082.6080226364847,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,625.5,1540.2395139813582,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,945.5,2072.756158455393,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,1220.5,2530.3876498002664,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,1520.5,3029.622003994674,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,1820.5,3528.856358189081,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,2125.5,4036.4112849533954,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,3630.5,6542.5,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,3920.5,7025.833333333333,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,5120.5,9025.833333333334,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,6325.5,11034.166666666666,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,6915.5,12017.5,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,7820.5,13525.833333333334,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,8075.5,13950.833333333334,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,9570.5,16442.5,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,12625.5,21537.369519832984,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,500.0,,,,,13225.5,22539.45720250522,,FALSE_ALARM,RBF_Ridge,within_Exp2
Exp2,100.0,1.0,2.0,3005.0,5500.0,3020.5,5525.833333333333,25.83333333333303,MATCHED,Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,2.0,3.0,6005.0,10500.0,,,,MISSED,Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,3.0,4.0,8705.0,15000.0,8730.5,15042.5,42.5,MATCHED,Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,4.0,5.0,11705.0,20000.0,11720.5,20025.887265135698,25.887265135697817,MATCHED,Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,350.5,1082.6080226364847,,FALSE_ALARM,Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,625.5,1540.2395139813582,,FALSE_ALARM,Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,945.5,2072.756158455393,,FALSE_ALARM,Ridge,Exp1_pretrain_to_Exp2
Exp2,100.0,,,,,1220.5,2530.3876498002664,,FALSE_ALARM,Ridge,Exp1_pretrain_to_Exp2
